City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,quellon,-43.1167,-73.6167,8.94,67,98,4.25,CL,1697300590
307,nyurba,63.2842,118.3319,-12.16,92,9,1.79,RU,1697300591
308,tomatlan,19.9333,-105.25,28.98,69,17,0.24,MX,1697300591
309,afaahiti,-17.75,-149.2833,21.93,74,52,4.77,PF,1697300591
310,revda,56.801,59.9303,3.58,84,38,4.83,RU,1697300592
311,kudymkar,59.0173,54.656,2.0,91,61,2.58,RU,1697300592
312,tazacorte,28.629,-17.9293,31.54,31,0,2.57,ES,1697300592
313,ketchikan,55.3422,-131.6461,12.99,94,100,6.17,US,1697300593
314,nchelenge,-9.3451,28.734,23.61,65,100,2.41,ZM,1697300593
315,puerto santa,-8.9906,-78.6456,21.03,78,49,4.39,PE,1697300594
316,tralee,52.2704,-9.7026,11.14,62,40,4.63,IE,1697300594
317,tazovsky,67.4667,78.7,1.63,98,100,4.8,RU,1697300594
318,sitka,57.0531,-135.33,12.94,76,100,9.77,US,1697300594
319,biryusinsk,55.9634,97.8235,3.22,74,58,1.8,RU,1697300595
320,fortuna,40.5982,-124.1573,14.96,94,0,4.12,US,1697300595
321,gebeit,21.0667,36.3167,29.34,24,0,4.32,SD,1697300595
322,namibe,-15.1961,12.1522,20.38,69,98,3.25,AO,1697300596
323,olutanga,7.3106,122.8464,27.83,75,100,2.5,PH,1697300596
324,bagan,54.1001,77.6646,8.94,45,100,5.54,RU,1697300596
325,igrim,63.1906,64.4162,6.12,85,96,3.58,RU,1697300597
326,kandira,41.0736,30.1746,18.1,83,35,2.89,TR,1697300597
327,kangding,30.0513,101.9603,8.75,94,96,1.82,CN,1697300598
328,klyuchi,52.2667,79.1667,9.9,37,100,5.26,RU,1697300598
329,howrah,22.5892,88.3103,29.0,79,20,0.0,IN,1697300598
330,vakfikebir,41.0458,39.2764,17.93,82,0,3.11,TR,1697300599
331,urucui,-7.2294,-44.5561,40.16,19,32,3.21,BR,1697300599
332,camalu,30.85,-116.0667,20.43,63,0,0.95,MX,1697300599
333,eyl,7.9803,49.8164,27.95,76,0,5.15,SO,1697300599
334,maitum,6.0392,124.4986,26.49,75,93,1.4,PH,1697300600
335,khorixas,-20.3667,14.9667,28.51,13,81,6.8,NA,1697300600
336,bahar,34.9072,48.4414,15.09,26,0,2.06,IR,1697300600
337,tura,25.5198,90.2201,20.93,86,0,1.16,IN,1697300601
338,ottersberg,53.1,9.15,11.18,69,67,6.74,DE,1697300601
339,tadine,-21.55,167.8833,21.02,92,70,4.14,NC,1697300601
340,cill airne,52.05,-9.5167,11.03,62,40,4.63,IE,1697300602
341,la'ie,21.6477,-157.9253,23.98,86,4,2.43,US,1697300602
342,yelizovo,53.1873,158.3805,5.08,100,100,3.13,RU,1697300602
343,massenya,11.4039,16.1705,37.3,18,8,3.29,TD,1697300603
344,djibo,14.1022,-1.6306,39.03,11,33,4.88,BF,1697300603
345,bodo,67.28,14.405,5.99,65,75,3.6,NO,1697300603
346,nadym,65.5333,72.5167,3.01,95,100,3.83,RU,1697300604
347,magadan,59.5667,150.8,-1.77,73,19,2.68,RU,1697300604
348,tuma,55.148,40.5537,10.51,77,99,5.5,RU,1697300604
349,charters towers,-20.1,146.2667,18.71,85,69,3.47,AU,1697300605
350,kermit,31.8576,-103.0927,15.91,36,0,3.6,US,1697300605
351,port sudan,19.6175,37.2164,29.9,66,0,4.72,SD,1697300606
352,dunedin,-45.8742,170.5036,9.33,82,34,4.92,NZ,1697300606
353,lethem,3.3803,-59.7968,35.36,41,58,2.11,GY,1697300606
354,tefe,-3.3542,-64.7114,32.06,62,40,1.54,BR,1697300607
355,perry,37.2506,-83.1999,22.1,83,76,5.24,US,1697300607
356,tam ky,15.5667,108.4833,23.78,94,100,3.01,VN,1697300607
357,amos,48.5669,-78.1162,6.83,88,98,3.76,CA,1697300471
358,zheleznogorsk-ilimskiy,56.5768,104.1217,1.87,96,100,7.15,RU,1697300608
